Name,Reference,Count,Subitems names,Status,Segment,Location,Description
2. Umbuchung,ZMZNQA,1,,disabled,extra,,"Gebühr für die umbuchung eines bestehenden Auftrags. <br/>
Hiermit möchten wir den potenziellen, verpassten Buchungen entgegen wirken. "
Baumaschine- Verladehilfe (Be- & Entladen),ISWKHF,1,,ready,extra,SLT Rental - Krefeld,Unterstützung beim Verladen und Verzurren der Baumaschinen.
Kostenfreie Stornierung,42HDM1,1,,ready,extra,,Mit dieser Option ist die Stornierung bis 72h vor Mietbeginn kostenfrei.
Mehraufwand Auftrag manuell,KQPQEG,1,,ready,extra,,"Händisches anlegen eines Auftrages wird mit brutto 5,00€ berechnet."
Verspätete Rückgabe,5VVKRZ,1,,disabled,extra,,"Bei verspäteter Rückgabe ist SLT berechtigt, 50% des Bruttomietpreises je verspätetem Tag als Zuschlag zu berechnen. SLT behält sich die Geltendmachung eines höheren Schadens vor."
Mehrstunden,EO7FWA,1,,ready,extra,,Mehrnutzungskosten je angefangene Stunde.
Reinigung Besteck- Set,EQ8OTS,1,,ready,extra,,Reinigungspauschale pro Besteck- Set
Reinigung Geschirr- Set,4TPUN2,1,,ready,extra,,Reinigungspauschale pro Geschirr- Set
Reinigung Gläser- Set,Y9NV2B,1,,ready,extra,,Reinigungspauschale pro Gläser- Set
Stundenlohnarbeiten Servicetechniker,TJTAT3,1,,ready,extra,,"Zulagen wie Auslösung, Fahrgelder, Gestellung von Werkzeugen und Hilfsmitteln sind nicht inkludiert."
Verschleiß für 110mm Diamantbohrkronen,PEKLE1,1,,ready,extra,,"Die Messung des Verschleißes erfolgte bei der Abholung und Rückgabe.<br/>
Es wird ein Einheitspreis pro 1 mm veranschlagt."
Verschleiß für 140mm Diamantbohrkronen,EYWJOL,1,,ready,extra,,"Die Messung des Verschleißes erfolgte bei der Abholung und Rückgabe.<br/>
Es wird ein Einheitspreis pro 1 mm veranschlagt."
Verschleiß für 180mm Diamantbohrkronen,NBAK56,1,,ready,extra,,"Die Messung des Verschleißes erfolgte bei der Abholung und Rückgabe.<br/>
Es wird ein Einheitspreis pro 1 mm veranschlagt."
Verschleiß für 202mm Diamantbohrkronen,C6HKHN,1,,ready,extra,,"Die Messung des Verschleißes erfolgte bei der Abholung und Rückgabe.<br/>
Es wird ein Einheitspreis pro 1 mm veranschlagt."
Verschleiß für 52mm Diamantbohrkronen,AKNU24,1,,ready,extra,,"Die Messung des Verschleißes erfolgte bei der Abholung und Rückgabe.<br/>
Es wird ein Einheitspreis pro 1 mm veranschlagt."
Verschleiß für 82mm Diamantbohrkronen,L8POI9,1,,ready,extra,,"Die Messung des Verschleißes erfolgte bei der Abholung und Rückgabe.<br/>
Es wird ein Einheitspreis pro 1 mm veranschlagt."
Waschservice Hussen,F93GIY,1,,ready,extra,,Service Pauschale für das Waschen einer Husse
"Verschleiß Diamantblatt 350x25,4mm",YP5C2S,1,,disabled,extra,,"Die Messung des Verschleißes erfolgt bei der Abholung und Rückgabe.<br/>
Je nach Durchmesser und Typ des Blatts wird ein Einheitspreis pro 1 mm veranschlagt."
"Verschleiß Diamantblatt Trockenschnitt 150x22,2mm ",1CMGV7,1,,ready,extra,,"Die Messung des Verschleißes erfolgt bei der Abholung und Rückgabe.<br/>
Je nach Durchmesser und Typ des Blatts wird ein Einheitspreis pro 1 mm veranschlagt.<br/>"
"Verschleiß Diamantblattn Feinstein 350x25,4mm",VO8IPO,1,,disabled,extra,,"Die Messung des Verschleißes erfolgt bei der Abholung und Rückgabe.<br/>
Je nach Durchmesser und Typ des Blatts wird ein Einheitspreis pro 1 mm veranschlagt.<br/>"
13-pol Pkw Anhängerstecker 12V (Verkauf),QNWEVT,1,,ready,verkauf,SLT Rental - Krefeld,13-pol Pkw Anhängerstecker
6V Blockbatterie (Verkauf),E2BGHK,1,,ready,verkauf,SLT Rental - Krefeld,"Kapazitaet in Ah: 7,5 Ah, Spannung: 6 Volt, Packungsinhalt: 1"
Bolzenanker M12/110 (Verkauf),1CEA9F,1,,ready,verkauf,SLT Rental - Krefeld,Bolzenanker für die Montage von Bohrständern für Kernbohrungen.
Bolzenanker M12/160 (Verkauf),7R7ICL,1,,ready,verkauf,SLT Rental - Krefeld,Bolzenanker für die Montage von Bohrständern für Kernbohrungen.
"Bosch Diamantblatt Beton 150x22,2mm (Verkauf)",9SMZN8,1,,ready,verkauf,,"Einsatzbereiche:<br/>
Granit, Naturstein, Beton armiert, Gartenplatten & Waschbeton"
Bremskeil schwarz mit Klipp- Halter (Verkauf),29VXUC,1,,ready,verkauf,SLT Rental - Krefeld,Bremskeil für Anhänger
"Diamantblatt Beton 350x25,4mm (Verkauf)",O7MJZY,1,,ready,verkauf,,"Einsatzbereiche:<br/>
Granit, Naturstein, Beton, Gartenplatten & Waschbeton"
"Diamantblatt Fliesen 350x25,4mm (Verkauf) Clone",Y3F78R,1,,ready,verkauf,,"Einsatzbereiche:<br/>
Fliesen, Keramik & Feinsteinzeug"
Schutzkappe für Anhängerkupplung (Verkauf),SKAQJQ,1,,ready,verkauf,SLT Rental - Krefeld,
"Zurrgurt 1-teilig 0,8t, 5m (Verkauf)",1GSVI3,1,,disabled,verkauf,,"Spanngurt einteilig<br/>
Gurtlänge: 5 m<br/>
Gurtbreite: 25 mm<br/>
Zurrkraft (LC) im geraden Zug: 400 daN"
110mm Diamantbohrkronen (Verkauf),D4QHGX,1,"110mm Diamantbohrkronen mit 1¼ UNC Anschluss, 1 Clone",ready,verkauf,,"Gewindeanschluss: 1¼"" UNC<br/>
Länge: 400 mm<br/>
Nutztiefe: 350 mm<br/>
Einsatz: Nass- und Trockenschnitt, jedoch wird Nassschnitt empfohlen<br/>
geeignet für Beton, Stahlbeton, Mauerwerk, Estrich, Ziegel, Klinker, Kalksandstein etc."
1t Maschinentransport je Fahrt bis 15 km,7EQV37,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 16 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
1t Maschinentransport je Fahrt bis 20 km,RDPON8,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 21 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
1t Maschinentransport je Fahrt bis 25 km,XUMW99,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 26 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
1t Maschinentransport je Fahrt bis 30 km,33637B,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 31 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
1t Maschinentransport je Fahrt bis 35 km,66DYBE,1,,ready,lieferung,,"Lager <-> Einsatzort unter 36 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
1t Maschinentransport je Fahrt bis 50 km ,7XML8P,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 51 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
2 kg Express- Versand Deutschland,Y6ZAQC,1,,ready,lieferung,,"Versand max. 35 x 25 x 10 cm<br/>
Zustellung nächster Werktag bis 12:00 Uhr<br/>
Haftung bis 500 €"
2 kg Versand Deutschland,YD4E1K,1,,disabled,lieferung,,"Versand max. 60 x 30 x 15 cm<br/>
Haftung bis 500 €"
2t Maschinentransport je Fahrt bis 100 km,TY2BU5,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 101 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
2t Maschinentransport je Fahrt bis 15 km,ITRY55,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 16 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
2t Maschinentransport je Fahrt bis 20 km  ,Z4KF5N,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 21 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
2t Maschinentransport je Fahrt bis 25 km ,VY5VMP,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 26 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
2t Maschinentransport je Fahrt bis 30 km,231NLI,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 31 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
2t Maschinentransport je Fahrt bis 35 km,41L365,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 36 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
2t Maschinentransport je Fahrt bis 50 km ,FIMUE6,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 51 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
3t Maschinentransport je Fahrt bis 15 km,TLM1RL,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 16 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
3t Maschinentransport je Fahrt bis 20 km,7WOKUU,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 21km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
3t Maschinentransport je Fahrt bis 25 km,NTX815,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 26 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
3t Maschinentransport je Fahrt bis 30 km,7YUISR,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 31 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
3t Maschinentransport je Fahrt bis 35 km,L2273K,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 36 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
3t Maschinentransport je Fahrt bis 50 km,FJVQYK,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 51 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
An- & Abfahrt,YEQVIJ,1,,ready,lieferung,,Fahrtkostenpauschale für Service- Arbeiten am Kundenstandort
"Transport je Fahrt <3,5t bis 10 km",67U1XR,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 11 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
"Transport je Fahrt <3,5t bis 15 km",47DX78,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 16 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
"Transport je Fahrt <3,5t bis 20 km",PT1ROQ,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 21 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
"Transport je Fahrt <3,5t bis 25 km",7PRBNI,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 26 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
"Transport je Fahrt <3,5t bis 35 km",48SH97,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 36 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
"Transport je Fahrt <3,5t bis 40 km",H9DC3N,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 41 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
"Transport je Fahrt <3,5t bis 60 km",L7QTXO,1,,disabled,lieferung,,"Lager <-> Einsatzort unter 61 km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
"Transport je Fahrt <3,5t bis 70 km",9E23Y3,1,,ready,lieferung,,"Lager <-> Einsatzort unter 70km<br/>
Lieferung erfolgt bis Boardsteinkante. <br/>
Zusätzliche Leistungen nach Absprache möglich."
Allegra 3 kW Elektro Heizlüfter,I28P33,1,,ready,zubehor,SLT Rental - Krefeld,"Heizleistung: 1,5 kW & 3 kW, Elektroanschluss: 230 V, Leistungsaufnahme: 3 kW, Luftleistung: 510 m³/h"
Motorradständer,ZSI4KD,2,"Motorradständer 01, Motorradständer 02",ready,zubehor,SLT Rental - Krefeld 24/7,"Für 15""-21"", Reifenbreite: 90 bis 200 mm "
Benzin Kanister 10 l,2TOXQM,1,Benzin Kanister 10 l,ready,zubehor,SLT Rental - Krefeld,"Zum nachtanken der Mietgeräte,<br/>
wird leer übergeben"
Benzin Kanister 5 l,STBNKE,6,"Benzin Kanister 5 l, Benzin Kanister 5 l, Benzin Kanister 5 l, Benzin Kanister 5 l, Benzin Kanister 5 l, Benzin Kanister 5 l",ready,zubehor,,"Zum nachtanken der Mietgeräte,<br/>
wird leer übergeben"
Bierzeltgarnitur- Set,VRRIQ9,1,,ready,zubehor,SLT Rental - Krefeld,"Ein Set besteht aus 2x Bank (25x220) & 1x Tisch (50x220).
Optional sind für Tische und Bänke Hussen in weiß erhältlich, diese können Sie im nächsten Schritt Ihrer Bestellung hinzufügen."
Diesel Kanister 10 l,CFKI1A,1,Diesel Kanister 10 l,ready,zubehor,SLT Rental - Krefeld,"Zum nachtanken der Mietgeräte, Kanister wird leer übergeben!"
Diesel Kanister 20 l  ,QU5OSB,1,Diesel Kanister 20 l ,ready,zubehor,SLT Rental - Bonn,"Zum nachtanken der Mietgeräte, Kanister wird leer übergeben!"
Diesel Kanister 20 l ,8QNMQF,2,"Diesel Kanister 20 l , Standard 02",ready,zubehor,SLT Rental - Krefeld,"Zum nachtanken der Mietgeräte, Kanister wird leer übergeben!"
Materiallift 125 kg,T3KVU6,4,"Lift , Lift, Lift, Lift",ready,zubehor,SLT Rental - Krefeld,Zeltaufbauhilfe
2 kW Elektro Heizlüfter,57W6C3,1,2 kW Elektro Heizlüfter,ready,zubehor,SLT Rental - Krefeld,"Heizleistung: 1 kW & 2 kW<br/>
Elektroanschluss: 230 V<br/>
Leistungsaufnahme: 2 kW<br/>
Luftleistung: 500 m³/h"
Forstschutzhelm 3 in1,TK38MR,1,Forstschutzhelm 3 in1 01,ready,zubehor,SLT Rental - Krefeld,Sicherheitshelm (EN397 & EN 352-3) mit Gehörschutz (bis -31dB) und Gesichtsschutz Visier
PU- Matte für VP 16/44,GK2KDF,4,"PU- Matte für VP 16/44 1, Matte, Matte, Matte",ready,zubehor,,wird empfohlen beim abrütteln von Pflastersteinen
PU- Matte für VP 25/50,4HEN2V,2,"PU- Matte für VP 25/50, PU- Matte für VP 25/50",ready,zubehor,,wird empfohlen beim abrütteln von Pflastersteinen
PU- Matte HVP 30/50,65LM32,2,"PU- Matte HVP 30/50, PU- Matte HVP 30/50",ready,zubehor,,Gummimatte für Rüttelplatte HVP 38/60
PU- Matte HVP 38/60,FAI3XO,3,"PU- Matte HVP 38/60, PU- Matte HVP 38/60, PU- Matte HVP 38/60",ready,zubehor,,Gummimatte für Rüttelplatte HVP 38/60
Kapselgehörschutz,MT7SBT,2,"Kapselgehörschutz 01, Kapselgehörschutz 02",ready,zubehor,SLT Rental - Krefeld,Gehörschutz mit -27 dB (SNR) nach DIN EN 352
Schukokabel 20m,D68P8Q,1,Schukokabel 20 m,ready,zubehor,SLT Rental - Krefeld,"Marke / Hersteller: Mennekes / Titanex<br/>
Produktmaße: 20 m<br/>
Gewicht: ca. 5,2 kg<br/>
<br/>
20 m Verlängerungskabel mit Stecker und Kupplung<br/>
Typ: H07RN-F3G2,5 - 16A<br/>"
Schutzbrille,KT6JFN,4,"Schutzbrille, Schutzbrille, Schutzbrille, Schutzbrille",ready,zubehor,SLT Rental - Krefeld,"Kratzfest, mit integrierter Seitenschut"
Soundboks Batteryboks,C3TV7S,1,Soundboks Batteryboks,ready,zubehor,SLT Rental - Krefeld,"Ersatz-Akku passend für Soundboks Gen3 und Gen4<br/>
Ladezeit: 3,5 Stunden<br/>
Akkulaufzeit: 40 Stunden bei halber Lautstärke bzw. 5 Stunden bei voller Lautstärke<br/>
Gewicht: 15,4 kg<br/>
<br/>
Im nächsten Schritt können Sie noch zusätzliche Akkus reservieren.<br/>"
Stehtisch,KXOGIM,1,Stehtisch,ready,zubehor,SLT Rental - Krefeld,"Stehtisch rund, 80 x 110 cm "
Trotec 2 kW Elektro Heizpilz,NJBOOM,1,2 kW Elektro Heizpilz,ready,zubehor,SLT Rental - Krefeld,"Heizleistung: 1 kW & 2 kW, Elektroanschluss: 230 V, Wirkungsfläche: ca 15m², Höhenverstellbar: 194 cm - 210 cm"
Umzugsdecke,FMU7AB,10,"Decke, 1, Decke, 2, Decke, 3, Decke, 4, Decke, 5, Decke, 6, Umzugsdecke 07, Umzugsdecke 08, Umzugsdecke 09, Umzugsdecke 10",ready,zubehor,,Decke für den Schutz von Möbeln oder ähnlichem.
2.1 Soundsystem,ZS78GK,1,,ready,zubehor,SLT Rental - Krefeld,"Aktive 2.1 Anlage mit 1400W RMS Systemleistung und integriertem 4-Kanal Mischpult<br/>
Für bis zu ca. 75 Personen geeignet<br/>
Maximaler Schalldruck: 126 dB (kontinuierlich) oder 129 dB (Peak) <br/>
<br/>
Integriertes Mischpult:<br/>
Mikrofon-Eingänge: 2 x Combo XLR/6,35 (1/4"")<br/>
Line-Eingänge: 2 x symmetrisch 6,35 (1/4"")<br/>
Stereo-Eingänge: 2 x symmetrisch 6,35 (1/4"") und 2 x RCA <br/>
Paralleler Ausgang: 2 x symmetrisch 6,35 (1/4"") (Stereo-Ausgang)<br/>
<br/>
inkl. 1x Stativ,1x Distanzstange, 1x 3m & 1x 5m Speakonkabel & Miniklinke auf XLR Adapter."
7 auf 13 Pol Adapter,YUFWXA,7,"7 auf 13 Pol Adapter, 7 auf 13 Pol Adapter, 7 auf 13 Pol Adapter, 7 auf 13 Pol Adapter, 7 auf 13 Pol Adapter, 7 auf 13 Pol Adapter, 7 auf 13 Pol Adapter",ready,zubehor,,7 auf 13 Pol Adapter für Autos mit 7 Pol Anschluss
Allegra 9 kW Elektro Heizlüfter,BT12RD,1,Allegra 9 kW Elektro Heizlüfter,ready,zubehor,SLT Rental - Krefeld,"Heizleistung: 4,5 kW & 9 kW, Elektroanschluss: 400V, Leistungsaufnahme: 9 kW, Luftumwälzung: 845 m³/h"
Anhängerschloss,WAZPRI,1,,ready,zubehor,,Schloss für den Diebstahlschutz des Anhängers
SDS Max 25/60 Bohrer,ZAXW1P,1,SDS Max 25/60 Bohrer,ready,zubehor,SLT Rental - Krefeld,"SDS Max Bohrer mit Kreuzschneide und Doppelwendel<br/>
Länge: 60 cm <br/>
Durchmesser: 25 mm<br/>
Aufnahme: SDS Max<br/>
Die Messung des Verschleißes erfolgt bei der Abholung und Rückgabe.<br/>
Je nach Durchmesser und Typ der Bohrkrone wird ein Einheitspreis pro 1 mm veranschlagt. Im Mietpreis ist ein Mindestbetrag für 2 mm berücksichtigt."
SDS Max 32/60 Bohrer,4RX1X8,1,SDS Max 32/60 Bohrer,ready,zubehor,SLT Rental - Krefeld,"SDS Max Bohrer mit Kreuzschneide und Doppelwendel<br/>
Länge: 60 cm<br/>
Durchmesser: 32 mm<br/>
Aufnahme: SDS Max<br/>
Die Messung des Verschleißes erfolgt bei der Abholung und Rückgabe.<br/>
Je nach Durchmesser und Typ der Bohrkrone wird ein Einheitspreis pro 1 mm veranschlagt. Im Mietpreis ist ein Mindestbetrag für 2 mm berücksichtigt."
SDS Max 45/100 Bohrer,6I945D,1,SDS Max 45/100 Bohrer,ready,zubehor,SLT Rental - Krefeld,"SDS Max Bohrer mit Kreuzschneide und Doppelwendel<br/>
Länge: 100 cm <br/>
Durchmesser: 45 mm <br/>
Aufnahme: SDS Max<br/>
Die Messung des Verschleißes erfolgt bei der Abholung und Rückgabe.<br/>
Je nach Durchmesser und Typ der Bohrkrone wird ein Einheitspreis pro 1 mm veranschlagt. Im Mietpreis ist ein Mindestbetrag für 2 mm berücksichtigt."
SDS Max 45/60 Bohrer,TFG5XL,1,SDS Max 45/60 Bohrer,ready,zubehor,SLT Rental - Krefeld,"SDS Max Bohrer mit Kreuzschneide und Doppelwendel<br/>
Länge: 60 cm <br/>
Durchmesser: 45 mm <br/>
Aufnahme: SDS Max<br/>
Die Messung des Verschleißes erfolgt bei der Abholung und Rückgabe.<br/>
Je nach Durchmesser und Typ der Bohrkrone wird ein Einheitspreis pro 1 mm veranschlagt. Im Mietpreis ist ein Mindestbetrag für 2 mm berücksichtigt."
SDS Max Meißel 5er Set,RN5BB7,1,Standard 1,ready,zubehor,SLT Rental - Krefeld,"Das Set besteht aus:<br/>
1 x Spitzmeißel 400 mm, 1x Kanalmeißel 25 x 350 mm, 1x Fliesenmeißel 75 x 300 mm, 1x Breitmeißel 50 x 400 mm & 1x Flachmeißel 25 x 400 mm<br/>
Aufnahme: SDS Max"
SDS Plus 25/60 Bohrer,NKZLZ8,1,SDS Plus 25/60 Bohrer,ready,zubehor,SLT Rental - Krefeld,"SDS Max Bohrer mit Kreuzschneide und Doppelwendel<br/>
Länge: 60 cm <br/>
Durchmesser: 25 mm<br/>
Aufnahme: SDS Plus<br/>
Die Messung des Verschleißes erfolgt bei der Abholung und Rückgabe.<br/>
Je nach Durchmesser und Typ der Bohrkrone wird ein Einheitspreis pro 1 mm veranschlagt. Im Mietpreis ist ein Mindestbetrag für 2 mm berücksichtigt."
Stihl Erdbohrer 100/900,OW8DVO,1,Stihl Erdbohrer 100/900,ready,zubehor,SLT Rental - Krefeld,"Länge: 90 cm, Durchmesser: 10 cm"
Stihl Erdbohrer 250/900,12LKOS,1,Stihl Erdbohrer 250/900,ready,zubehor,SLT Rental - Krefeld,"Länge: 90 cm, Durchmesser: 25 cm"
Stihl Herzkrümler 450/800,MF4DQC,1,Stihl Herzkrümler 450/800,ready,zubehor,SLT Rental - Krefeld,"Länge: 80 cm, Durchmesser: 45 cm"
Stihl Pflanzenschnecke 350/800,YWA9DS,1,Stihl Pflanzenschnecke 350/800,ready,zubehor,SLT Rental - Krefeld,"Länge: 80 cm, Durchmesser: 35 cm"
